ManagedPoolThread #17 00:19:28 INFO  ExecuteQueryAgainstLucene (social_messages_master): +posted_date:[00010101t000000000z TO 00010101t000000000z] +(final_workflow_state:1 workflow_state:00000000000000000000000000000000) +(_template:d7851f00e8694f9381f5b5338eff58a9 _template:06751e29d91b423ca2e1e54afd4f8f0b _template:e28734ca89eb4530b0e4b81f6645a372) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterc60553a0d77542fabe98f269182a2661en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master91e1a2714a2e4a17b2becf1061a16d12en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master22a11d205f1d4216bf3f18c016f1f98een +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master79226a4b5a844ad9a232b728b89c218aen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master5e6442ec78ce4d2086733670222e404den +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masteraafa3255e19d4c2ba4a39c90d0623cdfen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterd79648f313514a3c822e86809db16479en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master8403a34667c54616b23918bf4675852den +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master4c116ea6931249308c0f6663554d8ceaen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master1ecbac78c8664665b95a57f0ae2801b9en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master5322a457a6054a38a0d1f944b7f781d9en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterbaf8275106ec4ffca74f4e6fbd7a03e2en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master46dcdc711d9148ea9953585af256f40ben +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master2e619f71a2954459986c931518931ae7en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master3c6805f85c274414959292c3a3279c9fen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master992e6270e1e644558367eeb6f01619acen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master88fbe2ad1c4440b4a8b45e249650fb27en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastera4b847823a4f42fe85b9b2b384096b28en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master31fcbeb2376a481fbb44ef52301f33caen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastera44d8693f9624f768fb862525ce67ba1en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastere8507293f6b44c5c965346419c3045aaen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master0a6277ffb5ba490b8441986b4f519fbfen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastera9212a7431b34f3986151f9bcc143f74en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastera87e94efd1364fedb69fd69caac3ec8den +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastere39b82570419460f810e2224b8220537en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master7b6d0d4b29d34d34b26cd259d7ec1199en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master4fef4ce056d94d4b92cd3681aa5dfaf5en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master77f45dca743b4726b6060622fcf40d5ben +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master7b59154823aa46fd8b0183523a97b830en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master5602636be3144f2481403ba71b3f604een +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastercd35e9cc8a384f29ba95dc1c89a4b48fen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master2d46973e54564ba1a6e107c30a56e5c7en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastere77d7895e8af4eee8873e610208ce6d6en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastera7b53fd2c19b43f7a42c7a67fd69a37een +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterb000d1bae065481db5502771c8216718en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:master761891ed68cc4f35bf4cc48a0db328e9en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterb99b5d8564f14c198bfcf96726bfe2e2en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:masterdbb876bf2b28488590731e83a37be5daen +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
23368 01:09:52 INFO  ExecuteQueryAgainstLucene (social_messages_master): +container:mastera4d2b019d37540dcaa5c4ae355cfe974en +(_template:a6575aec8bc54591b7308fcdc0ccddb5 _template:7e49b0aa5eba4a02852c4744e2288ac2) - Filter : 
